user_id,age,workclass,salary,education_rank,marital-status,occupation,race,sex,mins_beerdrinking_year,mins_exercising_year,works_hours,tea_per_year,coffee_per_year,great_customer_class
1029438,44.0,private,10619.0,9,Never-married,clerical,caucasian,Female,0.0,0.0,30,481.0,241.0,0
1001936,41.0,private,48634.25,13,Divorced,professional,caucasian,Female,,0.0,40,,365.0,0
1021807,20.0,,50420.0,10,Never-married,,caucasian,Male,0.0,0.0,35,431.0,325.0,0
1019397,52.0,self_employed,52684.0,13,Married,sales,caucasian,Male,0.0,0.0,60,,28.0,0
1041833,23.0,private,38035.0,9,Never-married,sales,caucasian,Female,0.0,0.0,40,318.0,358.0,0
1017634,39.0,private,47790.25,10,Married,craft,caucasian,Male,0.0,0.0,40,36.0,364.0,0
1028502,33.0,government,22228.25,10,Never-married,clerical,not_caucasian,Female,0.0,0.0,40,191.0,92.0,0
1031958,48.0,private,32703.0,9,Married,executive,caucasian,Female,,0.0,40,,141.0,0
1003164,29.0,private,46271.0,10,Married,factory,caucasian,Male,0.0,0.0,55,,,0
1025728,44.0,self_employed,52069.25,9,Married,factory,caucasian,Female,0.0,0.0,45,26.0,83.0,0
1008335,27.0,private,28466.5,9,Never-married,service,caucasian,Female,0.0,0.0,30,267.0,177.0,0
1018635,22.0,,54355.25,10,Never-married,,caucasian,Female,0.0,0.0,30,,184.0,0
1046536,57.0,government,27253.75,8,Divorced,service,caucasian,Female,0.0,0.0,40,182.0,181.0,0
1039653,22.0,private,21347.25,9,Never-married,tech,caucasian,Male,0.0,0.0,40,404.0,189.0,0
1004785,37.0,private,51766.5,14,Married,professional,caucasian,Male,0.0,0.0,70,241.0,158.0,0
1041053,36.0,private,51563.25,10,Never-married,service,caucasian,Female,0.0,1617.0,40,291.0,20.0,0
1029774,54.0,,48260.75,9,Married,,caucasian,Male,0.0,0.0,40,,,0
1010225,21.0,private,32851.0,9,Never-married,service,caucasian,Male,0.0,0.0,25,74.0,236.0,0
1021911,46.0,private,36729.75,9,Divorced,sales,caucasian,Female,0.0,0.0,40,,182.0,0
1032613,28.0,private,83508.0,11,Never-married,sales,caucasian,Male,0.0,0.0,50,315.0,123.0,0
1002039,14.0,private,68557.0,9,Never-married,service,caucasian,Male,0.0,0.0,65,342.0,,0
1046815,33.0,private,21827.5,5,Never-married,factory,caucasian,Male,0.0,0.0,50,,246.0,0
1007216,53.0,government,83604.5,2,Married,clerical,not_caucasian,Male,0.0,0.0,40,158.0,,0
1033157,27.0,private,61263.25,10,Divorced,cleaner,caucasian,Male,0.0,1504.0,40,,,0
1007778,14.0,private,,10,Never-married,cleaner,caucasian,Male,0.0,0.0,45,342.0,,0
1031154,33.0,private,,12,Married,sales,not_caucasian,Male,0.0,0.0,60,77.0,,0
1018036,25.0,private,42330.75,13,Married,executive,caucasian,Female,0.0,0.0,40,,221.0,0
1028753,24.0,private,50400.75,9,Divorced,cleaner,caucasian,Male,0.0,,30,208.0,241.0,0
1017932,36.0,self_employed,34007.0,5,Married,craft,caucasian,Male,0.0,0.0,30,32.0,383.0,0
1011561,14.0,,65903.0,9,Never-married,,not_caucasian,Female,0.0,0.0,40,200.0,,0
1041437,40.0,self_employed,41277.0,13,Married,clerical,caucasian,Male,0.0,0.0,40,41.0,8.0,0
1043293,21.0,private,68797.5,10,Never-married,sales,caucasian,Female,0.0,0.0,20,338.0,204.0,0
1023695,19.0,private,46539.75,10,Never-married,sales,caucasian,Female,0.0,0.0,40,408.0,102.0,0
1027517,31.0,private,24120.0,9,Never-married,clerical,caucasian,Female,0.0,0.0,50,401.0,79.0,0
1046471,25.0,private,82848.75,10,Never-married,executive,caucasian,Male,0.0,0.0,50,167.0,,0
1000516,20.0,,9613.75,9,Never-married,,caucasian,Male,0.0,0.0,40,,495.0,0
1024078,43.0,private,52153.25,13,Divorced,tech,caucasian,Male,0.0,0.0,40,,251.0,0
1033909,52.0,private,34414.5,7,Married,factory,not_caucasian,Male,0.0,0.0,40,482.0,355.0,0
1034030,14.0,private,27592.75,8,Never-married,factory,caucasian,Male,0.0,0.0,40,230.0,,0
1035951,43.0,self_employed,27203.75,9,Married,craft,caucasian,Male,0.0,0.0,60,83.0,,0
1035631,38.0,private,45819.75,10,Married,craft,caucasian,Male,0.0,0.0,43,60.0,391.0,0
1017620,,government,8545.0,10,Married,executive,caucasian,Male,0.0,0.0,40,62.0,331.0,0
1048223,25.0,government,48080.25,13,Never-married,professional,caucasian,Female,0.0,0.0,40,,115.0,0
1024926,34.0,self_employed,72432.75,7,Married,factory,caucasian,Male,0.0,0.0,40,6.0,105.0,0
1008092,32.0,private,12787.5,8,Married,service,caucasian,Female,0.0,0.0,40,,341.0,0
1001490,44.0,self_employed,34617.75,10,Married,craft,caucasian,Male,0.0,0.0,50,236.0,358.0,0
1016474,47.0,private,30234.75,10,Married,tech,caucasian,Male,0.0,0.0,45,121.0,172.0,0
1016486,,private,35041.0,7,Never-married,sales,caucasian,Female,0.0,0.0,40,82.0,91.0,0
1008829,35.0,government,23863.75,13,Never-married,professional,caucasian,Female,0.0,0.0,55,419.0,232.0,0
1048003,58.0,private,48201.5,4,Never-married,cleaner,caucasian,Female,0.0,0.0,33,220.0,231.0,0
1042970,30.0,government,24796.25,12,Married,lawenf,caucasian,Male,0.0,0.0,40,,,0
1022810,22.0,private,32121.75,9,Never-married,clerical,caucasian,Female,0.0,0.0,10,40.0,245.0,0
1002819,14.0,private,40921.75,10,Married,executive,caucasian,Male,0.0,0.0,50,198.0,,0
1044422,41.0,private,30656.5,9,Divorced,cleaner,caucasian,Male,0.0,0.0,48,196.0,323.0,0
1009967,26.0,private,41354.5,12,Married,craft,caucasian,Male,0.0,0.0,40,398.0,444.0,0
1000963,24.0,private,38283.25,8,Never-married,factory,not_caucasian,Male,0.0,0.0,40,379.0,396.0,0
1031383,76.0,government,42283.25,10,Widowed,clerical,caucasian,Female,0.0,0.0,30,58.0,213.0,0
1042117,48.0,self_employed,44834.25,9,Married,craft,caucasian,Male,0.0,0.0,60,55.0,205.0,0
1043351,34.0,government,52132.0,12,Married,farm,caucasian,Male,0.0,0.0,30,7.0,,0
1006093,45.0,private,30920.25,9,Married,cleaner,caucasian,Male,0.0,0.0,40,327.0,92.0,0
1016859,58.0,government,70908.75,13,Never-married,professional,caucasian,Female,0.0,0.0,40,29.0,340.0,0
1021476,33.0,government,28900.75,10,Divorced,clerical,caucasian,Female,0.0,0.0,40,123.0,,0
1010438,18.0,government,73651.25,10,Never-married,executive,caucasian,Male,0.0,0.0,12,61.0,337.0,0
1004725,,private,32531.5,10,Married,executive,caucasian,Male,0.0,0.0,40,,134.0,0
1037744,47.0,private,59546.25,13,Divorced,clerical,caucasian,Female,0.0,0.0,40,,321.0,0
1001299,54.0,private,48753.75,9,Never-married,clerical,caucasian,Female,0.0,,40,99.0,246.0,0
1001461,17.0,private,21670.25,10,Divorced,sales,caucasian,Female,0.0,0.0,40,196.0,,0
1027422,45.0,private,27214.75,9,Divorced,craft,not_caucasian,Female,0.0,,40,354.0,159.0,0
1035385,14.0,private,50825.25,9,Never-married,clerical,caucasian,Female,0.0,0.0,40,466.0,,0
1021133,33.0,government,,10,Married,lawenf,caucasian,Male,0.0,0.0,40,151.0,,0
1044962,54.0,government,13594.25,14,Divorced,professional,caucasian,Female,0.0,0.0,40,242.0,112.0,0
1029272,76.0,,19861.25,6,Married,,caucasian,Male,1173.0,0.0,40,,245.0,0
1016397,56.0,self_employed,75772.5,10,Married,sales,caucasian,Male,0.0,0.0,50,330.0,307.0,0
1012654,18.0,private,37668.75,6,Never-married,sales,caucasian,Male,0.0,0.0,40,407.0,272.0,0
1008707,41.0,private,8281.5,11,Never-married,service,caucasian,Male,0.0,0.0,45,,268.0,0
1013412,26.0,private,47950.75,13,Never-married,sales,caucasian,Male,0.0,,40,264.0,116.0,0
1003583,41.0,private,38823.25,11,Married,craft,caucasian,Male,,0.0,45,,78.0,0
1042823,39.0,private,45426.25,9,Married,professional,caucasian,Male,0.0,,45,,89.0,0
1025283,25.0,private,46913.25,9,Never-married,cleaner,caucasian,Male,0.0,0.0,48,233.0,226.0,0
1035355,28.0,government,74134.25,9,Married,craft,caucasian,Male,0.0,0.0,45,310.0,317.0,0
1030538,16.0,self_employed,50284.5,11,Never-married,service,caucasian,Female,0.0,0.0,35,,,0
1047434,43.0,self_employed,46957.5,11,Divorced,craft,caucasian,Male,0.0,0.0,40,122.0,,0
1047590,43.0,government,11954.5,13,Never-married,professional,caucasian,Female,0.0,0.0,40,202.0,31.0,0
1030700,31.0,private,61861.0,11,Married,factory,caucasian,Male,0.0,0.0,40,188.0,68.0,0
1023096,45.0,private,51411.0,9,Divorced,tech,caucasian,Female,0.0,0.0,26,227.0,217.0,0
1011202,35.0,self_employed,12255.0,12,Never-married,farm,caucasian,Male,0.0,0.0,35,,98.0,0
1009829,,government,41470.75,9,Married,cleaner,not_caucasian,Male,0.0,0.0,40,,,0
1048185,55.0,private,25013.5,6,Never-married,service,caucasian,Male,0.0,0.0,40,,55.0,0
1013529,27.0,private,91246.5,10,Never-married,service,caucasian,Male,0.0,0.0,38,264.0,179.0,0
1015507,38.0,private,108909.5,10,Never-married,craft,caucasian,Male,0.0,1876.0,40,380.0,108.0,0
1024074,21.0,government,9562.75,10,Never-married,tech,caucasian,Female,0.0,0.0,20,274.0,120.0,0
1015817,29.0,private,21393.0,13,Never-married,executive,caucasian,Female,0.0,0.0,40,169.0,258.0,0
1036992,28.0,private,72287.0,9,Divorced,craft,caucasian,Female,0.0,0.0,40,425.0,,0
1010310,27.0,private,84980.25,10,Never-married,service,caucasian,Male,0.0,0.0,38,208.0,251.0,0
1005794,30.0,private,119336.25,4,Married,cleaner,caucasian,Male,0.0,2057.0,40,290.0,,0
1043074,17.0,private,40189.5,6,Never-married,sales,caucasian,Male,0.0,0.0,30,376.0,15.0,0
1042636,23.0,government,86098.5,10,Married,clerical,caucasian,Female,0.0,0.0,40,,101.0,0
1033472,,private,80763.5,6,Divorced,service,not_caucasian,Male,,0.0,40,,200.0,0
1017854,14.0,private,31066.25,10,Never-married,cleaner,caucasian,Male,0.0,0.0,40,426.0,,0
1033562,32.0,private,93173.0,9,Married,craft,caucasian,Male,0.0,0.0,40,,363.0,0
1021752,60.0,,62893.0,9,Widowed,,caucasian,Male,,0.0,35,,483.0,0
1009119,33.0,self_employed,47061.5,13,Divorced,craft,caucasian,Male,0.0,1590.0,60,267.0,73.0,0
1037909,35.0,private,27236.5,9,Divorced,tech,caucasian,Female,0.0,0.0,40,454.0,442.0,0
1027816,32.0,self_employed,20540.25,6,Widowed,trucker,caucasian,Male,0.0,0.0,35,,,0
1014255,32.0,private,49703.25,15,Married,professional,caucasian,Male,0.0,0.0,60,357.0,216.0,0
1002582,39.0,private,77236.25,13,Never-married,clerical,caucasian,Female,0.0,,50,,494.0,0
1030644,23.0,,13873.0,11,Never-married,,not_caucasian,Female,0.0,0.0,30,,17.0,0
1032101,22.0,private,7846.75,13,Married,clerical,not_caucasian,Female,2885.0,0.0,25,249.0,406.0,0
1002201,36.0,,34373.0,9,Divorced,,not_caucasian,Female,0.0,0.0,40,65.0,388.0,0
1009835,27.0,private,54695.25,9,Married,cleaner,caucasian,Male,,0.0,50,,483.0,0
1021749,34.0,self_employed,,10,Divorced,service,caucasian,Male,0.0,,80,214.0,,0
1039689,21.0,government,74788.25,10,Never-married,clerical,caucasian,Female,0.0,0.0,15,212.0,135.0,0
1036913,33.0,private,34327.5,9,Never-married,factory,caucasian,Female,0.0,0.0,40,367.0,155.0,0
1013788,65.0,self_employed,13973.5,15,Divorced,tech,caucasian,Male,0.0,0.0,40,117.0,232.0,0
1006738,18.0,private,53297.75,9,Married,service,caucasian,Male,0.0,0.0,50,,,0
1047398,30.0,private,22786.25,9,Married,factory,caucasian,Male,0.0,0.0,40,20.0,236.0,0
1003439,50.0,private,34224.5,11,Widowed,executive,caucasian,Female,,0.0,55,79.0,429.0,0
1033141,24.0,private,27263.25,9,Never-married,service,caucasian,Male,0.0,0.0,25,456.0,385.0,0
1000915,31.0,,46592.25,5,Divorced,,caucasian,Female,0.0,0.0,40,117.0,312.0,0
1035395,73.0,private,71170.0,9,Divorced,service,caucasian,Female,0.0,0.0,20,,313.0,0
1008792,52.0,self_employed,30259.5,9,Widowed,service,not_caucasian,Female,0.0,0.0,43,454.0,270.0,0
1042603,41.0,private,,9,Never-married,clerical,caucasian,Male,0.0,0.0,40,490.0,486.0,0
1040787,21.0,private,28276.5,10,Never-married,service,caucasian,Female,0.0,,30,99.0,204.0,0
1014528,22.0,private,53635.5,10,Never-married,clerical,caucasian,Male,0.0,0.0,40,345.0,214.0,0
1021219,31.0,private,11824.0,10,Married,clerical,caucasian,Female,0.0,1740.0,20,68.0,405.0,0
1020043,14.0,private,92387.25,10,Never-married,service,not_caucasian,Female,0.0,0.0,30,369.0,,0
1015870,25.0,government,20121.25,14,Divorced,executive,caucasian,Female,0.0,0.0,40,160.0,123.0,0
1038294,69.0,private,50140.0,13,Married,cleaner,caucasian,Male,0.0,0.0,20,91.0,349.0,0
1019422,27.0,private,50944.0,9,Married,craft,caucasian,Male,0.0,0.0,50,212.0,62.0,0
1004207,43.0,self_employed,42837.75,12,Married,craft,caucasian,Male,0.0,0.0,20,184.0,295.0,0
1044239,31.0,private,60340.0,13,Never-married,sales,caucasian,Male,0.0,0.0,40,,280.0,0
1012946,,private,67820.5,7,Divorced,lawenf,caucasian,Female,0.0,0.0,20,247.0,271.0,0
1025733,19.0,,14332.25,10,Never-married,,caucasian,Female,0.0,0.0,30,480.0,222.0,0
1024912,27.0,private,17370.25,9,Divorced,factory,caucasian,Male,0.0,0.0,40,310.0,,0
1047136,24.0,private,73272.75,9,Married,cleaner,caucasian,Male,,0.0,40,467.0,357.0,0
1028354,32.0,government,31912.75,9,Married,lawenf,caucasian,Male,0.0,0.0,40,166.0,244.0,0
1031320,19.0,private,22453.25,9,Married,factory,caucasian,Female,0.0,0.0,40,420.0,,0
1047248,21.0,private,39245.0,9,Never-married,factory,caucasian,Male,0.0,0.0,60,149.0,234.0,0
1001479,57.0,government,49454.0,9,Married,professional,caucasian,Male,0.0,0.0,24,315.0,,0
1009434,17.0,private,21504.75,7,Never-married,sales,caucasian,Female,0.0,0.0,36,465.0,322.0,0
1002682,41.0,private,79817.75,10,Married,sales,caucasian,Male,0.0,0.0,50,,437.0,0
1045439,67.0,self_employed,34298.0,9,Married,clerical,not_caucasian,Male,0.0,0.0,12,424.0,145.0,0
1013739,14.0,private,76468.5,9,Married,craft,caucasian,Male,0.0,0.0,60,378.0,,0
1026560,28.0,private,18923.75,10,Divorced,service,caucasian,Female,0.0,0.0,60,171.0,249.0,0
1006201,23.0,private,31653.25,13,Never-married,clerical,caucasian,Female,0.0,0.0,40,,15.0,0
1010874,57.0,self_employed,63316.75,3,Divorced,service,caucasian,Female,0.0,0.0,35,,350.0,0
1002933,33.0,private,29824.25,9,Married,service,caucasian,Male,0.0,0.0,40,431.0,,0
1007751,31.0,private,39796.75,10,Married,craft,caucasian,Male,0.0,0.0,25,,280.0,0
1015028,39.0,private,33591.75,9,Never-married,craft,caucasian,Female,0.0,0.0,43,475.0,142.0,0
1037230,36.0,private,67073.0,9,Married,craft,caucasian,Male,,0.0,41,267.0,226.0,0
1010410,24.0,private,68811.0,10,Never-married,executive,not_caucasian,Male,0.0,0.0,35,,280.0,0
1008229,22.0,private,47865.0,6,Never-married,sales,not_caucasian,Female,0.0,0.0,40,363.0,23.0,0
1030672,48.0,private,43484.5,9,Married,executive,caucasian,Male,0.0,0.0,60,217.0,25.0,0
1011654,28.0,private,48535.0,10,Divorced,factory,not_caucasian,Male,0.0,0.0,50,435.0,,0
1029216,30.0,government,49058.5,9,Divorced,craft,caucasian,Female,0.0,0.0,40,21.0,,0
1016756,46.0,private,69799.0,13,Never-married,craft,caucasian,Female,0.0,0.0,40,483.0,162.0,0
1008377,50.0,private,105210.5,12,Divorced,estate_agent,caucasian,Female,0.0,0.0,40,472.0,,0
1039330,65.0,private,42896.0,13,Never-married,executive,caucasian,Male,0.0,0.0,40,127.0,248.0,0
1037073,26.0,private,64896.25,10,Never-married,sales,caucasian,Male,0.0,0.0,24,338.0,90.0,0
1031746,38.0,government,12030.75,10,Divorced,executive,caucasian,Female,0.0,0.0,40,,473.0,0
1040454,27.0,private,44170.75,11,Married,service,caucasian,Male,0.0,0.0,60,,202.0,0
1018190,36.0,private,47208.5,5,Married,trucker,caucasian,Male,0.0,0.0,50,292.0,345.0,0
1020677,17.0,private,40029.5,8,Never-married,sales,caucasian,Female,0.0,0.0,10,,293.0,0
1036463,14.0,private,43955.0,7,Never-married,cleaner,caucasian,Male,0.0,0.0,25,,,0
1030892,61.0,government,25015.75,9,Married,craft,not_caucasian,Male,0.0,0.0,40,130.0,,0
1006707,14.0,private,42249.25,11,Never-married,executive,caucasian,Male,0.0,0.0,40,328.0,,0
1006217,51.0,private,38995.75,9,Married,craft,caucasian,Male,0.0,0.0,50,372.0,422.0,0
1043296,24.0,private,55488.75,13,Married,sales,caucasian,Male,,0.0,40,478.0,419.0,0
1025290,21.0,self_employed,29490.75,16,Never-married,professional,caucasian,Male,0.0,0.0,40,121.0,,0
1005605,28.0,government,50226.0,6,Divorced,clerical,not_caucasian,Female,0.0,0.0,40,341.0,,0
1034462,36.0,,53724.0,5,Divorced,,caucasian,Female,0.0,0.0,40,226.0,339.0,0
1021797,43.0,self_employed,45869.75,9,Married,craft,caucasian,Male,0.0,0.0,30,11.0,432.0,0
1048180,49.0,private,39752.0,10,Married,lawenf,caucasian,Male,0.0,0.0,56,113.0,,0
1019368,46.0,government,25519.0,9,Divorced,clerical,caucasian,Female,0.0,0.0,25,28.0,430.0,0
1019355,20.0,private,84409.75,10,Never-married,sales,caucasian,Male,0.0,0.0,40,286.0,48.0,0
1040983,14.0,private,29340.75,10,Never-married,clerical,caucasian,Female,0.0,0.0,35,76.0,,0
1032410,19.0,private,27463.5,9,Never-married,clerical,caucasian,Female,0.0,0.0,40,250.0,68.0,0
1025668,19.0,private,54300.0,9,Married,craft,caucasian,Male,0.0,0.0,40,,,0
1034945,47.0,private,41789.75,9,Divorced,factory,caucasian,Male,4650.0,0.0,40,,1.0,0
1033173,25.0,private,110302.5,9,Never-married,professional,caucasian,Male,0.0,0.0,40,282.0,348.0,0
1019806,31.0,private,10621.25,9,Married,factory,caucasian,Male,,0.0,55,43.0,374.0,0
1018720,32.0,self_employed,27936.5,10,Married,craft,caucasian,Male,0.0,0.0,40,481.0,323.0,0
1039904,56.0,self_employed,19522.5,10,Divorced,sales,caucasian,Female,,0.0,48,183.0,199.0,0
1007006,32.0,private,13525.5,10,Divorced,clerical,caucasian,Female,0.0,0.0,40,,,0
1007030,22.0,private,85440.0,13,Never-married,executive,caucasian,Female,0.0,0.0,40,253.0,83.0,0
1034837,16.0,government,36929.75,13,Never-married,professional,not_caucasian,Male,0.0,0.0,20,258.0,,0
1001609,24.0,private,99718.5,13,Never-married,professional,caucasian,Male,0.0,0.0,42,,,0
1035251,14.0,private,23686.0,9,Never-married,clerical,not_caucasian,Female,0.0,0.0,20,,,0
1044022,58.0,private,46384.25,10,Divorced,sales,caucasian,Female,0.0,0.0,20,,,0
1026009,46.0,private,51376.0,9,Divorced,factory,caucasian,Male,0.0,0.0,20,,3.0,0
1037803,35.0,private,48702.25,7,Divorced,factory,caucasian,Female,0.0,0.0,40,130.0,185.0,0
1039071,31.0,self_employed,40637.75,8,Married,sales,not_caucasian,Female,0.0,0.0,50,392.0,65.0,0
1025265,23.0,private,52762.25,10,Never-married,tech,caucasian,Female,4101.0,0.0,40,382.0,397.0,0
1005998,37.0,government,68879.25,10,Divorced,clerical,caucasian,Female,,0.0,72,320.0,,0
1003954,23.0,private,15195.75,11,Married,craft,caucasian,Male,0.0,0.0,40,,80.0,0
1028235,14.0,private,6060.75,9,Never-married,craft,caucasian,Male,0.0,1590.0,40,,,0
1044488,78.0,private,46189.75,4,Married,cleaner,caucasian,Male,1797.0,0.0,15,277.0,156.0,0
1026317,29.0,self_employed,31668.75,10,Married,professional,caucasian,Male,0.0,0.0,25,,,0
1031180,35.0,government,6940.75,9,Married,service,not_caucasian,Male,0.0,0.0,40,128.0,200.0,0
1022171,26.0,private,66857.75,13,Never-married,sales,not_caucasian,Female,0.0,0.0,20,263.0,498.0,0
1029145,19.0,self_employed,56827.5,10,Never-married,service,caucasian,Female,0.0,0.0,25,,91.0,0
1000864,24.0,private,48657.5,13,Never-married,professional,caucasian,Male,0.0,0.0,35,351.0,256.0,0
1036623,39.0,private,102297.25,3,Married,service,caucasian,Male,0.0,0.0,40,82.0,256.0,0
1020321,38.0,government,55105.25,13,Never-married,executive,caucasian,Female,0.0,0.0,40,,75.0,0
1029425,27.0,private,48501.0,7,Married,craft,caucasian,Male,0.0,0.0,25,327.0,,0
1022240,29.0,private,20750.75,9,Married,service,caucasian,Female,0.0,0.0,40,166.0,249.0,0
1011434,17.0,private,36852.75,3,Never-married,service,caucasian,Male,0.0,0.0,30,499.0,445.0,0
1029545,28.0,private,37336.75,10,Divorced,sales,caucasian,Male,0.0,0.0,60,163.0,,0
1015712,18.0,,55042.0,10,Never-married,,caucasian,Male,0.0,0.0,16,465.0,121.0,0
1015683,14.0,,83526.25,7,Never-married,,caucasian,Female,0.0,0.0,30,336.0,,0
1030834,37.0,self_employed,54562.25,7,Divorced,professional,not_caucasian,Female,0.0,0.0,30,93.0,452.0,0
1038625,16.0,government,43761.0,10,Never-married,lawenf,caucasian,Male,0.0,,40,287.0,,0
1009726,51.0,private,18808.75,13,Married,sales,caucasian,Male,0.0,0.0,60,468.0,444.0,0
1044132,34.0,private,64668.75,9,Never-married,trucker,caucasian,Male,0.0,,40,174.0,95.0,0
